order_detail_id,order_date,product_id,customer_id,territory_id,sales_order_number,sales_order_line_number,quantity,unitprice_rupiah,totalprice_rupiah,totalcost_rupiah,shippingprice_rupiah
SO43919-1,2016-08-01,314,12124,7,SO43919,1,1,50095780,50095780,30398118.8,1252395.2
SO43923-1,2016-08-02,312,28018,4,SO43923,1,1,50095780,50095780,30398118.8,1252395.2
SO43924-1,2016-08-02,310,12132,7,SO43924,1,1,50095780,50095780,30398118.8,1252395.2
SO43926-1,2016-08-03,351,11055,9,SO43926,1,1,47249860,47249860,26573321.6,1181247.2
SO43933-1,2016-08-04,347,11031,9,SO43933,1,1,47599860,47599860,26770161.6,1189997.2
SO43934-1,2016-08-04,346,11034,9,SO43934,1,1,47599860,47599860,26770161.6,1189997.2
SO43941-1,2016-08-06,314,13600,10,SO43941,1,1,50095780,50095780,30398118.8,1252395.2
SO43944-1,2016-08-06,344,11054,9,SO43944,1,1,47599860,47599860,26770161.6,1189997.2
SO43948-1,2016-08-06,345,11047,9,SO43948,1,1,47599860,47599860,26770161.6,1189997.2
SO43949-1,2016-08-07,310,27726,4,SO43949,1,1,50095780,50095780,30398118.8,1252395.2
SO43950-1,2016-08-07,311,28014,4,SO43950,1,1,50095780,50095780,30398118.8,1252395.2
SO43954-1,2016-08-08,311,13602,10,SO43954,1,1,50095780,50095780,30398118.8,1252395.2
SO43956-1,2016-08-08,344,11030,9,SO43956,1,1,47599860,47599860,26770161.6,1189997.2
SO43959-1,2016-08-09,348,11035,9,SO43959,1,1,47249860,47249860,26573321.6,1181247.2
SO43960-1,2016-08-09,349,11046,9,SO43960,1,1,47249860,47249860,26573321.6,1181247.2
SO43965-1,2016-08-10,351,11038,9,SO43965,1,1,47249860,47249860,26573321.6,1181247.2
SO43966-1,2016-08-10,347,11039,9,SO43966,1,1,47599860,47599860,26770161.6,1189997.2
SO43967-1,2016-08-11,313,28040,1,SO43967,1,1,50095780,50095780,30398118.8,1252395.2
SO43973-1,2016-08-12,312,28039,4,SO43973,1,1,50095780,50095780,30398118.8,1252395.2
SO43975-1,2016-08-12,312,13540,8,SO43975,1,1,50095780,50095780,30398118.8,1252395.2
SO43980-1,2016-08-13,351,11048,9,SO43980,1,1,47249860,47249860,26573321.6,1181247.2
SO43983-1,2016-08-14,314,28017,1,SO43983,1,1,50095780,50095780,30398118.8,1252395.2
SO43987-1,2016-08-15,310,28042,4,SO43987,1,1,50095780,50095780,30398118.8,1252395.2
SO43988-1,2016-08-15,344,11244,10,SO43988,1,1,47599860,47599860,26770161.6,1189997.2
SO43994-1,2016-08-18,314,27681,4,SO43994,1,1,50095780,50095780,30398118.8,1252395.2
SO43997-1,2016-08-18,310,28022,4,SO43997,1,1,50095780,50095780,30398118.8,1252395.2
SO43998-1,2016-08-18,348,11033,9,SO43998,1,1,47249860,47249860,26573321.6,1181247.2
SO43999-1,2016-08-18,311,28047,1,SO43999,1,1,50095780,50095780,30398118.8,1252395.2
SO44001-1,2016-08-19,313,28044,4,SO44001,1,1,50095780,50095780,30398118.8,1252395.2
SO44005-1,2016-08-19,334,26629,6,SO44005,1,1,9787374.8,9787374.8,5784048.2,244685
SO44008-1,2016-08-20,312,27678,1,SO44008,1,1,50095780,50095780,30398118.8,1252395.2
SO44009-1,2016-08-20,314,27759,1,SO44009,1,1,50095780,50095780,30398118.8,1252395.2
SO44012-1,2016-08-20,349,11052,9,SO44012,1,1,47249860,47249860,26573321.6,1181247.2
SO44014-1,2016-08-21,313,27917,4,SO44014,1,1,50095780,50095780,30398118.8,1252395.2
SO44016-1,2016-08-21,350,11247,10,SO44016,1,1,47249860,47249860,26573321.6,1181247.2
SO44021-1,2016-08-21,348,11032,9,SO44021,1,1,47249860,47249860,26573321.6,1181247.2
SO44029-1,2016-08-23,350,11050,9,SO44029,1,1,47249860,47249860,26573321.6,1181247.2
SO44030-1,2016-08-24,311,12131,7,SO44030,1,1,50095780,50095780,30398118.8,1252395.2
SO44032-1,2016-08-24,344,11243,10,SO44032,1,1,47599860,47599860,26770161.6,1189997.2
SO44040-1,2016-08-25,351,11057,9,SO44040,1,1,47249860,47249860,26573321.6,1181247.2
SO44056-1,2016-08-29,314,13559,8,SO44056,1,1,50095780,50095780,30398118.8,1252395.2
SO44058-1,2016-08-29,350,11056,9,SO44058,1,1,47249860,47249860,26573321.6,1181247.2
SO44062-1,2016-08-30,310,28041,1,SO44062,1,1,50095780,50095780,30398118.8,1252395.2
SO44063-1,2016-08-30,344,11240,10,SO44063,1,1,47599860,47599860,26770161.6,1189997.2
SO44068-1,2016-08-31,313,13541,8,SO44068,1,1,50095780,50095780,30398118.8,1252395.2
SO44073-1,2016-08-31,351,11044,9,SO44073,1,1,47249860,47249860,26573321.6,1181247.2
SO44143-1,2016-09-02,313,28145,4,SO44143,1,1,50095780,50095780,30398118.8,1252395.2
SO44148-1,2016-09-03,310,28172,4,SO44148,1,1,50095780,50095780,30398118.8,1252395.2
SO44152-1,2016-09-04,346,11334,10,SO44152,1,1,47599860,47599860,26770161.6,1189997.2
SO44153-1,2016-09-04,312,28168,4,SO44153,1,1,50095780,50095780,30398118.8,1252395.2
SO44154-1,2016-09-04,311,28181,1,SO44154,1,1,50095780,50095780,30398118.8,1252395.2
SO44159-1,2016-09-05,311,28182,4,SO44159,1,1,50095780,50095780,30398118.8,1252395.2
SO44160-1,2016-09-05,312,28186,1,SO44160,1,1,50095780,50095780,30398118.8,1252395.2
SO44162-1,2016-09-06,311,28185,4,SO44162,1,1,50095780,50095780,30398118.8,1252395.2
SO44164-1,2016-09-06,310,28088,4,SO44164,1,1,50095780,50095780,30398118.8,1252395.2
SO44169-1,2016-09-07,311,28179,1,SO44169,1,1,50095780,50095780,30398118.8,1252395.2
SO44170-1,2016-09-07,314,28183,4,SO44170,1,1,50095780,50095780,30398118.8,1252395.2
SO44171-1,2016-09-07,313,28112,4,SO44171,1,1,50095780,50095780,30398118.8,1252395.2
SO44177-1,2016-09-09,350,11337,10,SO44177,1,1,47249860,47249860,26573321.6,1181247.2
SO44178-1,2016-09-09,312,28097,4,SO44178,1,1,50095780,50095780,30398118.8,1252395.2
SO44180-1,2016-09-09,347,11058,9,SO44180,1,1,47599860,47599860,26770161.6,1189997.2
SO44190-1,2016-09-13,348,11061,9,SO44190,1,1,47249860,47249860,26573321.6,1181247.2
SO44193-1,2016-09-14,312,28164,4,SO44193,1,1,50095780,50095780,30398118.8,1252395.2
SO44197-1,2016-09-15,312,28096,4,SO44197,1,1,50095780,50095780,30398118.8,1252395.2
SO44198-1,2016-09-15,310,28150,4,SO44198,1,1,50095780,50095780,30398118.8,1252395.2
SO44203-1,2016-09-16,312,28149,4,SO44203,1,1,50095780,50095780,30398118.8,1252395.2
SO44206-1,2016-09-17,347,11250,10,SO44206,1,1,47599860,47599860,26770161.6,1189997.2
SO44207-1,2016-09-17,313,28162,4,SO44207,1,1,50095780,50095780,30398118.8,1252395.2
SO44212-1,2016-09-18,312,28170,4,SO44212,1,1,50095780,50095780,30398118.8,1252395.2
SO44215-1,2016-09-19,312,28180,1,SO44215,1,1,50095780,50095780,30398118.8,1252395.2
SO44216-1,2016-09-19,314,13560,8,SO44216,1,1,50095780,50095780,30398118.8,1252395.2
SO44217-1,2016-09-19,310,28148,1,SO44217,1,1,50095780,50095780,30398118.8,1252395.2
SO44220-1,2016-09-19,345,11060,9,SO44220,1,1,47599860,47599860,26770161.6,1189997.2
SO44224-1,2016-09-20,314,28166,4,SO44224,1,1,50095780,50095780,30398118.8,1252395.2
SO44227-1,2016-09-21,349,28401,7,SO44227,1,1,47249860,47249860,26573321.6,1181247.2
SO44228-1,2016-09-21,344,11333,10,SO44228,1,1,47599860,47599860,26770161.6,1189997.2
SO44233-1,2016-09-22,310,13841,10,SO44233,1,1,50095780,50095780,30398118.8,1252395.2
SO44234-1,2016-09-22,312,28184,4,SO44234,1,1,50095780,50095780,30398118.8,1252395.2
SO44240-1,2016-09-23,311,13580,8,SO44240,1,1,50095780,50095780,30398118.8,1252395.2
SO44242-1,2016-09-23,313,28163,1,SO44242,1,1,50095780,50095780,30398118.8,1252395.2
SO44250-1,2016-09-25,312,28167,4,SO44250,1,1,50095780,50095780,30398118.8,1252395.2
SO44254-1,2016-09-26,314,28142,1,SO44254,1,1,50095780,50095780,30398118.8,1252395.2
SO44258-1,2016-09-27,310,13579,8,SO44258,1,1,50095780,50095780,30398118.8,1252395.2
SO44259-1,2016-09-27,312,28171,1,SO44259,1,1,50095780,50095780,30398118.8,1252395.2
SO44273-1,2016-09-30,311,28147,4,SO44273,1,1,50095780,50095780,30398118.8,1252395.2
SO44321-1,2016-10-01,311,28222,1,SO44321,1,1,50095780,50095780,30398118.8,1252395.2
SO44323-1,2016-10-01,344,11072,9,SO44323,1,1,47599860,47599860,26770161.6,1189997.2
SO44325-1,2016-10-02,351,11095,9,SO44325,1,1,47249860,47249860,26573321.6,1181247.2
SO44327-1,2016-10-03,314,28598,4,SO44327,1,1,50095780,50095780,30398118.8,1252395.2
SO44330-1,2016-10-03,312,28199,4,SO44330,1,1,50095780,50095780,30398118.8,1252395.2
SO44333-1,2016-10-05,345,11343,10,SO44333,1,1,47599860,47599860,26770161.6,1189997.2
SO44337-1,2016-10-05,351,11097,9,SO44337,1,1,47249860,47249860,26573321.6,1181247.2
SO44344-1,2016-10-07,310,14427,10,SO44344,1,1,50095780,50095780,30398118.8,1252395.2
SO44345-1,2016-10-07,313,28200,4,SO44345,1,1,50095780,50095780,30398118.8,1252395.2
SO44351-1,2016-10-08,314,28271,4,SO44351,1,1,50095780,50095780,30398118.8,1252395.2
SO44355-1,2016-10-08,347,11093,9,SO44355,1,1,47599860,47599860,26770161.6,1189997.2
SO44356-1,2016-10-08,345,11099,9,SO44356,1,1,47599860,47599860,26770161.6,1189997.2
SO44359-1,2016-10-09,311,14525,10,SO44359,1,1,50095780,50095780,30398118.8,1252395.2
SO44361-1,2016-10-09,310,13686,8,SO44361,1,1,50095780,50095780,30398118.8,1252395.2
SO44364-1,2016-10-09,348,11092,9,SO44364,1,1,47249860,47249860,26573321.6,1181247.2
SO44368-1,2016-10-10,314,14150,10,SO44368,1,1,50095780,50095780,30398118.8,1252395.2
SO44374-1,2016-10-11,310,14157,10,SO44374,1,1,50095780,50095780,30398118.8,1252395.2
SO44375-1,2016-10-11,310,14183,10,SO44375,1,1,50095780,50095780,30398118.8,1252395.2
SO44379-1,2016-10-11,351,11080,9,SO44379,1,1,47249860,47249860,26573321.6,1181247.2
SO44381-1,2016-10-12,313,14191,10,SO44381,1,1,50095780,50095780,30398118.8,1252395.2
SO44382-1,2016-10-12,347,11341,10,SO44382,1,1,47599860,47599860,26770161.6,1189997.2
SO44386-1,2016-10-12,312,28587,4,SO44386,1,1,50095780,50095780,30398118.8,1252395.2
SO44387-1,2016-10-12,351,11096,9,SO44387,1,1,47249860,47249860,26573321.6,1181247.2
SO44395-1,2016-10-13,314,28339,1,SO44395,1,1,50095780,50095780,30398118.8,1252395.2
SO44400-1,2016-10-14,312,28588,4,SO44400,1,1,50095780,50095780,30398118.8,1252395.2
SO44404-1,2016-10-16,314,28221,4,SO44404,1,1,50095780,50095780,30398118.8,1252395.2
SO44406-1,2016-10-16,313,28299,4,SO44406,1,1,50095780,50095780,30398118.8,1252395.2
SO44407-1,2016-10-16,351,11077,9,SO44407,1,1,47249860,47249860,26573321.6,1181247.2
SO44408-1,2016-10-16,351,11103,9,SO44408,1,1,47249860,47249860,26573321.6,1181247.2
SO44410-1,2016-10-17,310,28223,4,SO44410,1,1,50095780,50095780,30398118.8,1252395.2
SO44411-1,2016-10-17,312,28584,4,SO44411,1,1,50095780,50095780,30398118.8,1252395.2
SO44412-1,2016-10-17,349,11100,9,SO44412,1,1,47249860,47249860,26573321.6,1181247.2
SO44413-1,2016-10-18,310,13606,8,SO44413,1,1,50095780,50095780,30398118.8,1252395.2
SO44414-1,2016-10-18,311,28340,4,SO44414,1,1,50095780,50095780,30398118.8,1252395.2
SO44415-1,2016-10-18,312,28355,4,SO44415,1,1,50095780,50095780,30398118.8,1252395.2
SO44416-1,2016-10-18,345,11069,9,SO44416,1,1,47599860,47599860,26770161.6,1189997.2
SO44421-1,2016-10-19,313,13607,8,SO44421,1,1,50095780,50095780,30398118.8,1252395.2
SO44423-1,2016-10-19,313,28586,4,SO44423,1,1,50095780,50095780,30398118.8,1252395.2
SO44426-1,2016-10-20,314,13770,8,SO44426,1,1,50095780,50095780,30398118.8,1252395.2
SO44427-1,2016-10-20,314,14146,10,SO44427,1,1,50095780,50095780,30398118.8,1252395.2
SO44428-1,2016-10-20,313,28362,4,SO44428,1,1,50095780,50095780,30398118.8,1252395.2
SO44429-1,2016-10-20,314,28583,1,SO44429,1,1,50095780,50095780,30398118.8,1252395.2
SO44433-1,2016-10-21,312,28270,1,SO44433,1,1,50095780,50095780,30398118.8,1252395.2
SO44435-1,2016-10-22,312,28573,1,SO44435,1,1,50095780,50095780,30398118.8,1252395.2
SO44436-1,2016-10-22,322,26630,6,SO44436,1,1,9787374.8,9787374.8,5784048.2,244685
SO44437-1,2016-10-22,344,11076,9,SO44437,1,1,47599860,47599860,26770161.6,1189997.2
SO44439-1,2016-10-23,310,14195,10,SO44439,1,1,50095780,50095780,30398118.8,1252395.2
SO44444-1,2016-10-25,311,13697,8,SO44444,1,1,50095780,50095780,30398118.8,1252395.2
SO44449-1,2016-10-27,312,28293,4,SO44449,1,1,50095780,50095780,30398118.8,1252395.2
SO44450-1,2016-10-27,310,28294,4,SO44450,1,1,50095780,50095780,30398118.8,1252395.2
SO44451-1,2016-10-27,313,28295,1,SO44451,1,1,50095780,50095780,30398118.8,1252395.2
SO44467-1,2016-10-29,346,11070,9,SO44467,1,1,47599860,47599860,26770161.6,1189997.2
SO44468-1,2016-10-29,351,11075,9,SO44468,1,1,47249860,47249860,26573321.6,1181247.2
SO44472-1,2016-10-30,312,13685,8,SO44472,1,1,50095780,50095780,30398118.8,1252395.2
SO44475-1,2016-10-30,345,11101,9,SO44475,1,1,47599860,47599860,26770161.6,1189997.2
SO44571-1,2016-11-01,347,29448,8,SO44571,1,1,47599860,47599860,26770161.6,1189997.2
SO44574-1,2016-11-01,349,11107,9,SO44574,1,1,47249860,47249860,26573321.6,1181247.2
SO44575-1,2016-11-01,344,11110,9,SO44575,1,1,47599860,47599860,26770161.6,1189997.2
SO44576-1,2016-11-01,313,28660,1,SO44576,1,1,50095780,50095780,30398118.8,1252395.2
SO44578-1,2016-11-02,314,28653,4,SO44578,1,1,50095780,50095780,30398118.8,1252395.2
SO44580-1,2016-11-03,314,13782,8,SO44580,1,1,50095780,50095780,30398118.8,1252395.2
SO44581-1,2016-11-03,348,11108,9,SO44581,1,1,47249860,47249860,26573321.6,1181247.2
SO44582-1,2016-11-03,346,11134,9,SO44582,1,1,47599860,47599860,26770161.6,1189997.2
SO44585-1,2016-11-04,312,28790,1,SO44585,1,1,50095780,50095780,30398118.8,1252395.2
SO44586-1,2016-11-04,314,28794,1,SO44586,1,1,50095780,50095780,30398118.8,1252395.2
SO44587-1,2016-11-04,311,28627,4,SO44587,1,1,50095780,50095780,30398118.8,1252395.2
SO44589-1,2016-11-04,346,11104,9,SO44589,1,1,47599860,47599860,26770161.6,1189997.2
SO44592-1,2016-11-05,314,28761,4,SO44592,1,1,50095780,50095780,30398118.8,1252395.2
SO44593-1,2016-11-05,313,28645,4,SO44593,1,1,50095780,50095780,30398118.8,1252395.2
SO44595-1,2016-11-05,345,11124,9,SO44595,1,1,47599860,47599860,26770161.6,1189997.2
SO44599-1,2016-11-06,310,28792,1,SO44599,1,1,50095780,50095780,30398118.8,1252395.2
SO44601-1,2016-11-06,345,11117,9,SO44601,1,1,47599860,47599860,26770161.6,1189997.2
SO44602-1,2016-11-07,314,14702,10,SO44602,1,1,50095780,50095780,30398118.8,1252395.2
SO44606-1,2016-11-07,313,28772,1,SO44606,1,1,50095780,50095780,30398118.8,1252395.2
SO44607-1,2016-11-07,310,28774,4,SO44607,1,1,50095780,50095780,30398118.8,1252395.2
SO44612-1,2016-11-08,311,28675,4,SO44612,1,1,50095780,50095780,30398118.8,1252395.2
SO44613-1,2016-11-08,313,28628,1,SO44613,1,1,50095780,50095780,30398118.8,1252395.2
SO44614-1,2016-11-08,312,28650,4,SO44614,1,1,50095780,50095780,30398118.8,1252395.2
SO44615-1,2016-11-08,314,28654,1,SO44615,1,1,50095780,50095780,30398118.8,1252395.2
SO44616-1,2016-11-08,314,28655,1,SO44616,1,1,50095780,50095780,30398118.8,1252395.2
SO44622-1,2016-11-09,311,13771,8,SO44622,1,1,50095780,50095780,30398118.8,1252395.2
SO44623-1,2016-11-10,312,12301,7,SO44623,1,1,50095780,50095780,30398118.8,1252395.2
SO44625-1,2016-11-10,314,28658,4,SO44625,1,1,50095780,50095780,30398118.8,1252395.2
SO44627-1,2016-11-10,349,11109,9,SO44627,1,1,47249860,47249860,26573321.6,1181247.2
SO44628-1,2016-11-10,348,11356,9,SO44628,1,1,47249860,47249860,26573321.6,1181247.2
SO44630-1,2016-11-11,312,28765,4,SO44630,1,1,50095780,50095780,30398118.8,1252395.2
SO44631-1,2016-11-11,310,28629,4,SO44631,1,1,50095780,50095780,30398118.8,1252395.2
SO44637-1,2016-11-12,311,28644,1,SO44637,1,1,50095780,50095780,30398118.8,1252395.2
SO44638-1,2016-11-12,310,28651,4,SO44638,1,1,50095780,50095780,30398118.8,1252395.2
SO44645-1,2016-11-13,344,11344,10,SO44645,1,1,47599860,47599860,26770161.6,1189997.2
SO44646-1,2016-11-13,344,29449,8,SO44646,1,1,47599860,47599860,26770161.6,1189997.2
SO44650-1,2016-11-13,351,11147,9,SO44650,1,1,47249860,47249860,26573321.6,1181247.2
SO44652-1,2016-11-14,350,28407,7,SO44652,1,1,47249860,47249860,26573321.6,1181247.2
SO44654-1,2016-11-14,313,28619,4,SO44654,1,1,50095780,50095780,30398118.8,1252395.2
SO44655-1,2016-11-14,346,11105,9,SO44655,1,1,47599860,47599860,26770161.6,1189997.2
SO44657-1,2016-11-14,350,11120,9,SO44657,1,1,47249860,47249860,26573321.6,1181247.2
SO44660-1,2016-11-15,310,28775,4,SO44660,1,1,50095780,50095780,30398118.8,1252395.2
SO44662-1,2016-11-15,349,11151,9,SO44662,1,1,47249860,47249860,26573321.6,1181247.2
SO44666-1,2016-11-16,313,28763,4,SO44666,1,1,50095780,50095780,30398118.8,1252395.2
SO44667-1,2016-11-16,310,28795,4,SO44667,1,1,50095780,50095780,30398118.8,1252395.2
SO44668-1,2016-11-16,313,28621,4,SO44668,1,1,50095780,50095780,30398118.8,1252395.2
SO44674-1,2016-11-17,314,28635,4,SO44674,1,1,50095780,50095780,30398118.8,1252395.2
SO44679-1,2016-11-18,346,11106,9,SO44679,1,1,47599860,47599860,26770161.6,1189997.2
SO44680-1,2016-11-19,312,12296,7,SO44680,1,1,50095780,50095780,30398118.8,1252395.2
SO44682-1,2016-11-19,310,28797,4,SO44682,1,1,50095780,50095780,30398118.8,1252395.2
SO44683-1,2016-11-19,312,28799,4,SO44683,1,1,50095780,50095780,30398118.8,1252395.2
SO44684-1,2016-11-19,310,28643,4,SO44684,1,1,50095780,50095780,30398118.8,1252395.2
SO44686-1,2016-11-20,313,14712,10,SO44686,1,1,50095780,50095780,30398118.8,1252395.2
SO44690-1,2016-11-20,344,11111,9,SO44690,1,1,47599860,47599860,26770161.6,1189997.2
SO44691-1,2016-11-21,346,28414,7,SO44691,1,1,47599860,47599860,26770161.6,1189997.2
SO44692-1,2016-11-21,311,28670,1,SO44692,1,1,50095780,50095780,30398118.8,1252395.2
SO44693-1,2016-11-21,311,28676,4,SO44693,1,1,50095780,50095780,30398118.8,1252395.2
SO44703-1,2016-11-24,311,12300,7,SO44703,1,1,50095780,50095780,30398118.8,1252395.2
SO44706-1,2016-11-24,311,28618,1,SO44706,1,1,50095780,50095780,30398118.8,1252395.2
SO44707-1,2016-11-24,311,28649,4,SO44707,1,1,50095780,50095780,30398118.8,1252395.2
SO44712-1,2016-11-25,348,11112,9,SO44712,1,1,47249860,47249860,26573321.6,1181247.2
SO44714-1,2016-11-26,313,28657,1,SO44714,1,1,50095780,50095780,30398118.8,1252395.2
SO44720-1,2016-11-27,311,28625,1,SO44720,1,1,50095780,50095780,30398118.8,1252395.2
SO44721-1,2016-11-27,342,26643,6,SO44721,1,1,9787374.8,9787374.8,5784048.2,244685
SO44723-1,2016-11-28,345,29410,8,SO44723,1,1,47599860,47599860,26770161.6,1189997.2
SO44728-1,2016-11-28,344,11126,9,SO44728,1,1,47599860,47599860,26770161.6,1189997.2
SO44729-1,2016-11-29,310,12307,7,SO44729,1,1,50095780,50095780,30398118.8,1252395.2
SO44730-1,2016-11-29,311,14697,10,SO44730,1,1,50095780,50095780,30398118.8,1252395.2
SO44731-1,2016-11-29,312,28661,1,SO44731,1,1,50095780,50095780,30398118.8,1252395.2
SO44804-1,2016-12-01,310,28829,4,SO44804,1,1,50095780,50095780,30398118.8,1252395.2
SO44807-1,2016-12-01,350,11365,9,SO44807,1,1,47249860,47249860,26573321.6,1181247.2
SO44810-1,2016-12-02,311,29126,4,SO44810,1,1,50095780,50095780,30398118.8,1252395.2
SO44812-1,2016-12-02,314,28988,4,SO44812,1,1,50095780,50095780,30398118.8,1252395.2
SO44815-1,2016-12-02,351,11444,9,SO44815,1,1,47249860,47249860,26573321.6,1181247.2
SO44816-1,2016-12-03,312,12321,7,SO44816,1,1,50095780,50095780,30398118.8,1252395.2
SO44818-1,2016-12-03,313,28827,4,SO44818,1,1,50095780,50095780,30398118.8,1252395.2
SO44819-1,2016-12-03,313,28853,1,SO44819,1,1,50095780,50095780,30398118.8,1252395.2
SO44826-1,2016-12-04,314,12308,7,SO44826,1,1,50095780,50095780,30398118.8,1252395.2
SO44828-1,2016-12-04,312,28997,4,SO44828,1,1,50095780,50095780,30398118.8,1252395.2
SO44831-1,2016-12-05,350,29467,8,SO44831,1,1,47249860,47249860,26573321.6,1181247.2
SO44832-1,2016-12-05,311,28804,4,SO44832,1,1,50095780,50095780,30398118.8,1252395.2
SO44839-1,2016-12-06,314,28825,1,SO44839,1,1,50095780,50095780,30398118.8,1252395.2
SO44840-1,2016-12-06,314,28857,4,SO44840,1,1,50095780,50095780,30398118.8,1252395.2
SO44843-1,2016-12-07,312,29058,4,SO44843,1,1,50095780,50095780,30398118.8,1252395.2
SO44844-1,2016-12-07,314,29139,4,SO44844,1,1,50095780,50095780,30398118.8,1252395.2
SO44847-1,2016-12-07,346,11445,9,SO44847,1,1,47599860,47599860,26770161.6,1189997.2
